name,lowerName,crawled
ASIA PACIFIC WIRE & CABLE CORP LTD,asia_pacific_wire__cable_corp_ltd,True
"Direct Leased Properties, LLC",direct_leased_properties_llc,False
SCANSOURCE INC,scansource_inc,False
Heitmann Scott K,heitmann_scott_k,False
IVA Fiduciary Trust,iva_fiduciary_trust,False
"PVAM Perlus Microcap Fund, L.P.",pvam_perlus_microcap_fund_lp,False
iAB Financial Bank,iab_financial_bank,False
CRAWFORD WILLIAM P,crawford_william_p,False
"Carter Investors, LLC",carter_investors_llc,False
MANWANI HARISH,manwani_harish,False
"NRG Generation Holdings, Inc.",nrg_generation_holdings_inc,False
"Silver Lake Partners IV, L.P.",silver_lake_partners_iv_lp,False
KW 2013O LLC,kw_2013o_llc,False
"Sententia Capital Management, LLC",sententia_capital_management_llc,False
"AFH ACQUISITION XI, INC.",afh_acquisition_xi_inc,False
"Bowery Opportunity Fund, L.P.",bowery_opportunity_fund_lp,False
"ELMSTONE GROUP OP2, LLC",elmstone_group_op2_llc,False
"National American University Holdings, Inc.",national_american_university_holdings_inc,False
Warner Chilcott Ltd,warner_chilcott_ltd,False
Zan Shengda,zan_shengda,False
TMP Associates II LP,tmp_associates_ii_lp,False
GUARDIAN CAPITAL LP,guardian_capital_lp,True
Garg Atul R.,garg_atul_r,False
SCHMITT WOLFGANG R,schmitt_wolfgang_r,True
STEINMETZ GEORGE E,steinmetz_george_e,False
"Telos Capital Management, Inc.",telos_capital_management_inc,False
"DMH INTERNATIONAL, INC.",dmh_international_inc,False
"CRAWFORD LAKE ENHANCED ONSHORE FUND, LP",crawford_lake_enhanced_onshore_fund_lp,False
Yoder Kevin,yoder_kevin,False
LINCOLN LIFE FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT Z,lincoln_life_flexible_premium_variable_life_account_z,False
Guggenheim Credit Allocation Fund,guggenheim_credit_allocation_fund,False
RABAUT THOMAS W,rabaut_thomas_w,True
CD 2016-CD2 Mortgage Trust,cd_2016cd2_mortgage_trust,False
LINDNER S CRAIG,lindner_s_craig,False
Whited Gary L,whited_gary_l,False
HALLENE JAMES N,hallene_james_n,True
Desmond-Hellmann Susan,desmondhellmann_susan,False
"Peter A. Bordes, Jr. 2009 Gift Trust",peter_a_bordes_jr_2009_gift_trust,False
"Reserve at St. Lucie LP 188, LLC",reserve_at_st_lucie_lp_188_llc,False
"AEOLUS PHARMACEUTICALS, INC.",aeolus_pharmaceuticals_inc,False
"Soundwall, Inc.",soundwall_inc,False
"Vensun Pharmaceuticals, Inc.",vensun_pharmaceuticals_inc,False
Jacobi Capital Management LLC,jacobi_capital_management_llc,False
HELTON SANDRA L,helton_sandra_l,True
TAPLIN DAVID F,taplin_david_f,True
LARSON JAMES R,larson_james_r,True
"Mill Road Capital II, L.P.",mill_road_capital_ii_lp,False
Destra Capital Advisors LLC,destra_capital_advisors_llc,False
"EPT Hurst, Inc.",ept_hurst_inc,False
TCW Direct Lending LLC,tcw_direct_lending_llc,False
Kaminski Michael P,kaminski_michael_p,True
